               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0639,              0.0367,            0.048753,             0.53233,               0.689,             0.62062,             0.25459,            0.050409,            0.016006,            0.018868,             0.00313,             0.00313,             0.07183
                   1,            0.050201,            0.028112,            0.018077,             0.68302,             0.70972,             0.74949,             0.40792,            0.041701,            0.015946,            0.012211,           0.0062698,           0.0062698,             0.04357
                   2,            0.045704,            0.029069,            0.017956,             0.54365,              0.5627,             0.53479,             0.27301,            0.040471,            0.018993,            0.018221,           0.0094091,           0.0094091,            0.015309
                   3,            0.044373,            0.032746,            0.021215,             0.61888,             0.53142,             0.57085,             0.31454,            0.038498,            0.020249,            0.017168,           0.0099978,           0.0099978,           0.0099978
                   4,            0.041282,            0.032388,            0.020032,             0.57677,             0.55434,             0.54971,             0.29483,            0.040155,            0.020375,            0.017445,           0.0099978,           0.0099978,           0.0099978
                   5,            0.040166,            0.032564,            0.019161,             0.62431,             0.58341,             0.61039,             0.34866,            0.037354,            0.019797,            0.015484,           0.0099961,           0.0099961,           0.0099961
                   6,            0.039059,            0.032188,              0.0179,              0.6745,             0.60931,             0.64604,             0.38153,            0.035515,            0.019141,            0.014174,           0.0099938,           0.0099938,           0.0099938
                   7,             0.03717,            0.030286,            0.015915,             0.67461,             0.61433,             0.66603,             0.39659,            0.035986,            0.019361,            0.012755,           0.0099911,           0.0099911,           0.0099911
                   8,             0.03625,            0.030001,             0.01427,             0.66731,             0.64328,             0.68324,             0.40597,            0.035388,            0.018932,            0.013122,           0.0099879,           0.0099879,           0.0099879
                   9,            0.035413,            0.029625,            0.013973,             0.69522,             0.63251,             0.68008,             0.41349,            0.034227,            0.019038,            0.012197,           0.0099842,           0.0099842,           0.0099842
                  10,            0.035659,            0.029756,            0.014284,             0.71733,             0.62035,             0.68034,             0.41373,            0.034465,            0.019293,            0.012506,             0.00998,             0.00998,             0.00998
                  11,            0.034521,            0.029021,            0.013032,             0.71217,             0.66697,             0.71054,             0.43535,            0.033936,            0.018651,            0.010932,           0.0099753,           0.0099753,           0.0099753
                  12,             0.03408,            0.028931,             0.01197,              0.7249,             0.66832,             0.72132,             0.44074,            0.033401,            0.018966,            0.010234,           0.0099702,           0.0099702,           0.0099702
                  13,            0.032971,            0.027367,            0.010757,             0.72191,             0.66631,             0.71991,             0.44976,            0.032774,            0.018512,            0.010407,           0.0099645,           0.0099645,           0.0099645
                  14,            0.032613,            0.027572,            0.011634,             0.70165,             0.66012,             0.70637,             0.44008,            0.033615,            0.019261,             0.01135,           0.0099584,           0.0099584,           0.0099584
                  15,             0.03277,            0.027785,            0.012314,             0.74791,             0.64807,             0.72137,             0.45233,            0.033075,             0.01873,             0.01027,           0.0099517,           0.0099517,           0.0099517
                  16,             0.03246,            0.028133,            0.011461,             0.71207,             0.63522,             0.68525,              0.4255,            0.033735,             0.01947,            0.012589,           0.0099446,           0.0099446,           0.0099446
                  17,            0.032251,            0.027521,            0.011535,             0.75211,             0.65689,             0.72713,             0.46642,            0.032833,            0.019156,            0.010936,            0.009937,            0.009937,            0.009937
                  18,            0.031793,            0.026957,            0.010188,             0.74391,               0.681,             0.74002,             0.47383,              0.0325,             0.01884,           0.0098244,           0.0099289,           0.0099289,           0.0099289
                  19,            0.031037,            0.025757,           0.0094203,             0.73204,             0.71077,              0.7461,             0.48068,            0.032116,               0.019,           0.0099499,           0.0099203,           0.0099203,           0.0099203
                  20,            0.030453,            0.025975,           0.0091082,             0.74757,             0.68442,             0.73688,             0.47192,             0.03195,            0.019026,            0.010203,           0.0099112,           0.0099112,           0.0099112
                  21,            0.030186,            0.025656,           0.0093248,             0.75283,             0.69271,              0.7472,             0.48245,            0.031892,            0.018605,           0.0097052,           0.0099017,           0.0099017,           0.0099017
                  22,            0.030148,            0.025545,           0.0096162,              0.7284,             0.69759,             0.74125,             0.48007,            0.031766,            0.018778,            0.010038,           0.0098916,           0.0098916,           0.0098916
                  23,            0.030046,            0.025855,            0.008837,             0.74005,             0.68912,              0.7355,             0.47554,             0.03204,             0.01904,           0.0096124,           0.0098811,           0.0098811,           0.0098811
                  24,            0.029342,            0.024893,           0.0085209,             0.75785,             0.69183,             0.74904,             0.48737,            0.031557,            0.018697,           0.0090429,           0.0098701,           0.0098701,           0.0098701
                  25,            0.029276,            0.024901,           0.0082872,             0.73846,              0.6865,             0.73547,             0.47292,            0.031919,            0.019352,           0.0096797,           0.0098586,           0.0098586,           0.0098586
                  26,            0.029099,             0.02494,           0.0084385,             0.75151,             0.70405,             0.75281,             0.48921,            0.031106,            0.018757,           0.0091787,           0.0098467,           0.0098467,           0.0098467
                  27,            0.028909,            0.025102,           0.0088284,             0.75618,             0.69596,             0.74536,             0.48613,            0.031793,            0.019089,           0.0097832,           0.0098342,           0.0098342,           0.0098342
                  28,            0.028941,             0.02453,           0.0085523,             0.75896,             0.69928,             0.76267,              0.5063,            0.031301,            0.018831,           0.0098848,           0.0098213,           0.0098213,           0.0098213
                  29,            0.028659,            0.024587,           0.0086649,             0.77195,             0.70613,             0.76565,             0.50133,              0.0313,            0.018898,           0.0090175,           0.0098079,           0.0098079,           0.0098079
                  30,            0.028276,            0.024566,           0.0082578,             0.76406,             0.71461,             0.76064,             0.49929,            0.031353,            0.019223,           0.0090648,           0.0097941,           0.0097941,           0.0097941
                  31,            0.028088,             0.02398,           0.0086388,             0.74892,             0.68808,             0.73181,             0.47995,            0.032746,            0.019904,            0.010603,           0.0097798,           0.0097798,           0.0097798
                  32,            0.027817,            0.023848,           0.0075566,             0.75404,             0.71216,             0.75197,             0.49462,             0.03176,            0.019392,           0.0090668,            0.009765,            0.009765,            0.009765
